Property Reference Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Demand
0002.61.6915,-0.22183222,6.0242653,5.953249,-6.89049,3.0636275,-0.94817555,-0.36296108,-1.8830662,0.8727962,6.8871894,-9.850289,-0.95080125,-2.3590233,-7.3146873,9.682235,-2.9859314,2.0
0002.61.6915,0.60948485,6.2427998,5.7832255,-6.939771,3.4796915,-0.87421,0.33504075,-1.675094,0.11161524,6.779986,-9.572109,-0.09246544,-2.7608368,-7.171674,9.20672,-2.6221473,2.0
0002.61.6915,1.3985655,6.613178,6.1452627,-7.3832045,3.6984148,-2.1274831,0.90947217,-2.78436,-0.29886281,7.241723,-10.057664,0.6379051,-3.0717995,-7.5208235,9.508305,-3.5896509,2.0
0012.61.9682,0.73277164,7.525365,6.753076,-8.926143,5.0288644,-3.0520444,0.78392607,-4.6613016,0.4098087,7.8808923,-12.079361,0.4096245,-3.946983,-8.715199,11.561431,-4.128768,17.0
0012.61.9682,-1.3628877,5.466207,5.663973,-6.7517815,2.6324685,-2.1096365,-0.57314885,-2.9086657,1.7505614,6.7274776,-9.97732,-1.542024,-1.7992643,-7.1525087,10.005502,-2.3969445,17.0
0043.61.2130,-1.3504109,5.82759,5.4475074,-6.5669074,3.7712102,-0.34102178,1.1344377,11.202304,1.3109742,6.3689814,-10.190717,0.026053919,-3.0737677,-7.059452,9.84389,9.022984,1.0
0043.61.2130,1.6416095,11.233096,8.299624,-11.601686,10.330834,-6.9306607,6.453445,2.5247529,-2.121909,8.910097,-16.301088,4.0305724,-8.985482,-11.474995,15.990519,3.6397269,1.0
0043.61.2130,-0.07337872,5.7374415,5.650464,-6.376362,2.4626791,0.3566605,0.01944259,1.3817285,0.50726604,6.806667,-9.3463,-0.45978937,-2.1372836,-7.051548,8.508642,-0.70988095,1.0
0043.61.2130,0.19577466,8.337253,6.9023914,-9.0870075,6.5896254,-2.6227913,2.6563337,7.522555,0.70592344,7.8452544,-12.964608,0.51664346,-5.3560677,-9.278856,12.5321245,7.729198,1.0
0043.61.2130,2.189541,8.80851,7.5052614,-9.715558,5.6865273,-1.2512001,1.9681128,1.2677025,-1.1841447,9.005862,-13.069631,2.1791346,-5.0294986,-9.984341,11.464457,-1.1544483,1.0
0043.61.2130,1.3371495,5.191188,4.9739695,-5.787086,2.714757,-1.5907592,1.7082499,0.8830191,-0.32127428,5.9777265,-7.7973795,0.8186292,-2.3255217,-6.0209556,7.160246,-0.4548526,1.0
0043.61.2130,1.7002769,9.118698,7.209696,-9.532064,7.64862,-4.1873736,3.6244197,-1.1932011,-1.468552,8.039749,-13.012874,1.81766,-6.295906,-10.052816,12.711843,-3.0529442,1.0
0043.61.2130,2.4775753,8.257386,7.093996,-8.980348,5.3238397,-3.415717,2.3082051,-2.92043,-1.2876539,8.357738,-11.756688,1.7788159,-4.5223675,-8.9990225,10.9999275,-4.482145,1.0
0043.61.2130,-1.712661,4.271805,4.808369,-5.0008674,0.9991281,0.70095277,-0.7970723,1.8599877,1.5863302,5.8240423,-8.041683,-1.7126666,-0.8772155,-5.8103943,7.539167,0.38395444,1.0
0043.61.2130,-1.4221592,8.673958,7.0947905,-9.704726,6.83369,-2.7596943,0.41699052,1.217704,1.2859935,8.196069,-14.503194,-0.3453545,-5.3737397,-9.728768,14.322634,-0.25001496,1.0
0043.61.2130,-3.24837,3.8787222,4.545269,-5.5947347,1.7049787,-0.74616176,-0.96831644,5.9035153,3.7572238,5.6261997,-9.062108,-3.085114,-0.83800554,-5.9365587,8.757961,3.4950323,1.0
0043.61.2130,2.4610987,8.131254,6.9891963,-8.955288,5.2928295,-2.10829,1.6451502,-2.89712,-1.3629224,8.302009,-11.618132,1.7522969,-4.4334893,-9.012417,10.691214,-5.3240232,1.0
0043.61.2130,-1.534182,4.3641324,4.889419,-5.3066573,1.5252036,0.22270516,-0.4470862,2.331638,1.5839715,5.8723087,-8.243049,-1.6146066,-1.0879778,-6.0133977,7.756926,0.8910854,1.0
0043.61.2130,1.4196868,7.0317483,6.32269,-7.863485,3.9595754,-0.65462184,1.226179,1.9250591,-0.49251515,7.678488,-10.8038645,1.2400781,-3.4868178,-8.132242,9.464489,0.04740304,1.0
0051.06.1645,0.06865418,5.0195613,5.0342293,-5.6081076,2.2985802,-0.57962894,0.5117575,1.3907405,0.38395175,5.9807606,-8.089257,-0.18259257,-1.9657539,-6.060547,7.545665,-0.3977458,0.0
0051.06.1645,0.19166896,4.391746,4.5264416,-4.894406,1.6241161,-0.18754722,0.7910654,2.3237898,0.4856521,5.4639344,-7.1865253,-0.30405945,-1.4957231,-5.4653373,6.5757127,0.4473596,0.0
0051.06.1645,-0.13913378,4.2594457,4.4916644,-4.910048,1.567612,-0.25325727,0.8278609,2.691912,0.48897102,5.454517,-7.2450213,-0.28849673,-1.3959409,-5.4172606,6.565391,0.8495197,0.0
0051.06.1645,0.43891573,4.7667465,4.835986,-5.3620195,1.9727787,-0.47692573,1.0232298,2.2575963,0.30301818,5.8336816,-7.6497736,-0.046978667,-1.7732587,-5.8612156,6.951795,0.12837136,0.0
0051.06.1645,1.5532882,6.1359262,5.6311083,-6.9299083,3.4410481,-2.0342665,1.7333144,1.3293422,-0.39382145,6.8186474,-9.355483,0.8809717,-3.013722,-7.1092362,8.334173,-0.741494,0.0
0051.06.1645,1.6445854,5.3295765,4.9969783,-5.930933,2.8983233,-1.5200586,2.0367613,2.2460177,-0.4883174,6.036428,-7.9627576,0.97880167,-2.5526605,-6.1744313,7.0919485,0.5053915,0.0
0051.06.1645,-0.59269196,4.9606957,5.0944943,-5.907483,2.310374,-0.9529312,0.65959144,3.7512112,0.87334704,6.1438293,-8.673259,-0.009190461,-1.9822239,-6.311137,8.14598,3.0570762,0.0
0051.06.1645,0.30972597,6.174033,5.8460135,-6.758132,3.3166997,-0.6209468,1.4080693,5.321307,0.1895377,6.9834266,-9.857223,0.64245486,-2.927076,-7.3251495,9.114149,4.0576363,0.0
0051.06.1645,-0.7955428,4.1674733,4.5441813,-4.7637124,1.2485911,0.5016011,0.29872352,2.513909,0.797571,5.4753237,-7.378003,-0.8423595,-1.172776,-5.4669847,6.728751,0.50823236,0.0
0051.06.1645,-0.8637261,4.0865374,4.493523,-4.6536613,1.093335,0.4666069,0.11384817,2.4141455,0.96363187,5.416856,-7.225111,-1.1233612,-1.0153015,-5.3902063,6.6185884,0.37060463,0.0
0051.06.1645,0.10846388,5.280226,5.2420697,-6.0235753,2.637534,-0.7148483,0.50078803,-0.19117376,0.34697032,6.1557245,-8.555059,-0.2820372,-2.1079178,-6.395921,8.2341175,-1.0212222,0.0
0051.06.1645,-0.8709595,4.244989,4.6149526,-4.8465385,1.2847676,0.534382,0.21041957,2.3939474,0.81790483,5.5593777,-7.5128245,-0.9028065,-1.2073623,-5.5637465,6.86388,0.40769145,0.0
0051.06.1645,-1.385796,3.847775,4.4078274,-4.502249,0.853069,0.6859958,-0.15101595,2.7177427,1.2045082,5.344845,-7.2208734,-1.2586943,-0.7954565,-5.282425,6.6213584,0.83858454,0.0
0051.06.1645,1.2009454,5.919606,5.5133624,-6.5686464,3.3855088,-0.68980175,1.7457354,6.2903123,-0.06686812,6.595796,-9.111612,0.9795043,-2.8223953,-6.7906528,8.269743,3.5671868,0.0
0051.06.1645,1.1601915,7.012935,6.4186497,-7.801469,4.337635,-0.49773747,1.887506,6.5504236,-0.026461046,7.5828247,-10.865626,1.3046778,-3.6229968,-8.059896,9.906059,3.4437954,0.0
0051.06.1645,1.1634909,6.79817,6.181506,-7.555138,4.3222785,-1.1961215,2.0135775,5.4509983,-0.38512364,7.3341355,-10.426682,1.363812,-3.6073859,-7.7537265,9.488528,2.5451374,0.0
0051.06.1645,0.30704555,4.4925265,4.581766,-5.0807405,1.9540142,-0.77175564,1.2709035,4.1849213,0.4330024,5.5478783,-7.305722,0.037033632,-1.7191426,-5.54163,6.6543884,2.2375257,0.0
0051.06.1645,0.48190483,6.788987,6.3398924,-7.7778893,3.9266253,-0.09237727,0.7721927,2.9054286,0.10318512,7.564914,-10.851408,0.39879358,-3.3652062,-8.063444,9.685758,-0.34872064,0.0
0051.06.1645,-0.052587323,4.4707446,4.6337976,-5.0025597,1.6209342,-0.12941387,0.7426269,2.2626967,0.5013897,5.5859027,-7.378446,-0.44088888,-1.4825897,-5.586385,6.717105,0.24376962,0.0
0051.06.1645,1.2903328,6.0616045,5.622794,-6.766683,3.5601392,-0.6858367,1.776148,5.8611517,-0.1942733,6.7446103,-9.333243,1.1232045,-2.9526622,-6.9346523,8.4262705,3.2452981,0.0
0051.06.1645,-1.1194069,4.0304885,4.482316,-4.627563,0.9969491,0.6875903,-0.105281144,2.3930511,1.0340501,5.4239635,-7.338689,-1.1527761,-0.9364811,-5.38188,6.70519,0.57818204,0.0
0051.06.1645,1.1974678,4.8267903,4.704436,-5.4200845,2.4398804,-1.2797251,1.7766093,2.8778186,-0.1353448,5.678241,-7.3764114,0.6786704,-2.1107438,-5.72972,6.678971,1.1482947,0.0
0051.06.1645,-1.2171367,4.022024,4.5003967,-4.5949717,0.9600246,0.84491307,-0.14246087,2.3683908,1.0375508,5.424531,-7.3596945,-1.1599798,-0.9256724,-5.3832097,6.738319,0.4579367,0.0
0051.06.1645,1.7164859,9.141811,8.058233,-10.275608,5.6158457,0.049975786,0.6788905,3.5553446,-0.3145412,9.635938,-13.948521,1.0676534,-4.7527175,-10.561694,12.429793,0.22183602,0.0
0051.06.1645,-0.6239791,6.1028357,5.721826,-7.2408113,3.7867868,-2.5838459,1.4385109,5.407119,1.5799372,6.7548275,-10.591899,-0.14795646,-2.960409,-7.356051,9.997703,4.4117665,0.0
0051.06.1645,-0.41391727,4.90519,5.2418756,-5.8230534,1.8180418,0.09983525,-0.140994,3.3280244,1.1822473,6.348864,-8.599383,-0.84419733,-1.5336946,-6.310604,8.044595,1.2626655,0.0
